Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1710747948.716,6.4,8.0,58.2,21,12,44
1710747949.516,3.5,8.0,58.2,92,74,49
1710747950.315,3.3,8.0,58.2,91,74,50
1710747951.115,3.4,8.0,58.2,91,73,50
1710747951.915,3.6,7.9,58.2,90,73,50
1710747952.715,3.4,8.0,58.2,91,73,50
1710747953.515,3.6,8.0,58.2,92,72,51
1710747954.315,3.3,8.0,58.2,91,73,51
1710747955.114,3.2,7.9,58.2,92,74,51
1710747955.914,3.2,7.9,58.2,91,74,51
1710747956.714,3.3,7.9,58.2,92,74,51
1710747957.514,3.2,7.9,58.2,92,74,52
